0.11,0.00,112.99,-1.31,-0.08
0.17,0.00,113.04,-1.81,-0.12
0.21,0.00,113.20,-2.65,-0.03
0.25,0.00,113.40,-3.56,0.05
0.32,0.00,113.64,-4.66,0.21
0.42,0.00,113.84,-5.98,0.86
0.51,0.00,114.19,-7.65,0.69
0.62,0.00,114.63,-9.14,-0.04
0.57,0.00,115.11,-11.90,-0.09
0.48,-0.37,115.68,-12.63,-0.53
0.41,0.00,116.21,-13.73,-0.46
0.38,0.00,116.76,-14.30,0.04
0.44,0.00,117.58,-15.05,-0.31
0.42,-0.61,118.57,-16.34,-1.16
0.41,0.00,119.54,-16.81,-1.60
0.50,0.47,120.40,-16.88,-1.89
0.51,0.52,121.24,-16.88,-2.03
0.23,0.00,122.10,-16.97,-2.18
0.00,0.00,123.37,-16.75,-3.50
0.19,0.00,124.18,-15.07,-3.32
0.32,0.00,124.94,-14.84,-2.28
0.39,0.00,125.59,-15.58,-1.28
0.51,0.00,126.45,-16.05,-0.76
0.23,1.04,127.38,-16.58,-0.29
0.23,0.00,128.17,-16.57,0.24
-0.10,0.00,129.07,-16.30,0.23
-0.54,0.00,129.99,-15.85,0.04
-0.75,0.00,130.90,-14.57,-0.47
-0.67,0.00,131.59,-11.56,0.05
-0.66,0.00,132.53,-10.62,0.11
-0.59,0.00,133.33,-6.72,0.53
-0.26,0.00,134.26,-5.76,0.47
-0.36,0.00,135.01,-4.46,1.50
-0.32,0.00,135.90,-1.86,1.44
-0.27,0.00,136.70,-0.29,0.83
0.00,0.00,137.50,1.50,0.39
0.37,0.00,138.27,1.31,0.84
0.55,0.00,139.00,-0.30,0.88
0.68,0.00,139.68,-2.55,0.86
0.44,0.00,140.49,-4.68,0.62
0.80,0.00,141.35,-6.58,-0.97
1.01,0.00,142.02,-8.55,-0.74
1.07,0.00,142.61,-9.44,-0.39
1.10,0.00,143.24,-9.38,-0.72
1.06,0.00,143.78,-9.34,-0.97
1.13,0.00,144.27,-10.38,-0.98
0.97,0.00,144.53,-10.30,-0.84
0.77,0.00,144.80,-10.11,-0.58
1.07,0.00,144.85,-9.92,-1.00
0.50,0.80,144.92,-9.80,-0.04
1.02,-0.70,145.08,-10.62,0.18
0.51,0.00,145.18,-15.61,0.50
0.29,-0.37,145.50,-16.96,0.32
0.00,0.68,145.81,-17.36,0.36
-0.22,0.75,145.98,-17.64,0.32
-0.93,0.00,146.17,-16.94,0.60
-0.26,0.00,146.24,-13.69,1.44
-0.82,0.00,146.57,-11.62,2.04
-0.63,0.00,146.98,-9.59,2.28
-1.18,0.00,147.32,-5.96,2.53
-0.75,0.00,147.64,-5.76,2.47
-0.96,0.00,147.90,-1.72,1.93
-1.12,0.00,148.21,-0.31,1.83
-1.27,0.00,148.56,-0.33,1.81
-0.94,0.00,148.96,-0.38,1.80
-0.75,0.00,149.35,0.75,1.76
-0.58,0.00,149.70,4.42,1.87
-0.39,0.00,150.00,7.14,1.91
0.00,0.00,150.15,8.63,1.38
0.42,0.00,150.34,7.91,1.86
0.74,0.00,150.63,5.11,1.80
0.95,0.00,150.92,1.77,1.46
0.99,0.00,151.42,1.78,1.67
1.01,0.00,151.99,1.52,1.70
1.25,0.00,152.59,0.43,1.63
1.12,0.00,153.16,0.62,1.69
1.02,0.00,153.72,0.81,1.68
0.76,0.00,154.21,0.96,1.76
0.78,0.45,154.67,0.63,1.56
0.93,0.00,155.04,0.76,1.54
1.18,0.00,155.58,-0.60,1.10
1.29,-0.39,156.87,-0.64,1.27
1.44,0.00,158.25,-1.52,1.18
0.83,0.00,159.70,-1.17,1.36
0.75,0.36,161.12,-1.32,1.32
0.22,0.00,162.38,-1.01,1.40
0.14,0.00,163.67,-1.83,2.00
0.00,0.00,165.36,-2.29,2.13
-0.59,0.00,166.70,-1.91,2.47
-1.39,0.00,167.60,0.59,2.74
-0.81,-0.40,168.21,0.40,2.89
-0.78,0.00,168.83,4.55,4.40
-0.37,0.00,168.52,5.45,4.68
-0.57,0.00,167.70,5.97,4.99
-0.50,0.00,167.47,7.53,5.12
-0.24,0.00,167.21,9.30,4.96
-0.61,0.00,166.91,9.58,4.52
-0.55,0.00,166.49,10.19,4.31
-0.85,0.00,165.70,11.96,3.19
-0.90,0.00,165.55,12.67,3.17
-0.65,0.00,165.52,13.38,3.19
-0.78,0.00,165.60,14.70,3.14
-0.40,0.00,165.66,15.70,3.39
0.12,0.00,165.75,16.10,2.68
0.27,0.00,166.23,13.76,3.31
0.35,0.00,166.52,11.89,2.62
0.53,0.00,167.01,8.72,2.17
0.60,0.00,167.61,8.21,2.13
0.67,0.00,168.09,4.63,1.10
0.40,0.00,168.65,2.02,1.71
0.75,0.00,169.08,1.11,0.99
0.35,0.00,169.35,-1.23,1.38
0.91,0.00,169.53,-2.71,1.19
0.67,0.00,169.75,-6.01,0.47
0.79,0.00,169.67,-7.60,0.84
0.92,0.00,169.84,-8.54,0.69
1.18,0.00,170.42,-10.44,0.16
1.31,0.00,171.48,-10.28,0.26
1.59,0.00,172.10,-10.38,0.16
0.93,0.00,172.42,-10.35,0.46
0.92,0.00,172.49,-11.02,0.30
0.81,0.00,172.84,-12.05,0.07
0.48,-0.44,173.19,-15.88,0.26
0.12,0.00,173.54,-16.75,0.43
-1.84,1.05,173.61,-19.15,0.34
-0.73,-0.86,174.46,-17.40,-0.03
-1.68,0.00,175.22,-15.36,1.07
-2.03,0.00,176.55,-15.67,0.87
-1.08,-0.73,177.67,-15.06,0.74
-0.71,0.00,179.02,-9.65,0.09
0.00,0.44,-179.81,-8.05,-0.28
0.47,0.00,-178.35,-7.72,-0.10
0.66,0.00,-177.40,-8.99,0.24
0.47,-0.52,-176.35,-11.52,0.21
0.41,0.00,-175.67,-12.47,-0.19
0.88,-0.35,-175.27,-13.58,-0.59
0.64,0.00,-175.27,-17.22,-0.66
0.48,0.00,-175.52,-18.17,-0.60
-0.13,0.50,-176.22,-18.37,-0.18
-0.43,0.00,-176.83,-18.36,0.00
-0.30,0.00,-177.51,-15.66,-0.33
0.00,0.71,-178.46,-12.20,0.19
0.11,0.00,-179.44,-12.03,0.49
0.70,-0.48,179.39,-11.57,1.16
0.71,0.62,178.61,-14.24,-1.54
0.51,0.00,177.83,-14.31,-1.99
0.00,0.00,177.64,-15.61,-2.37
0.00,0.00,177.28,-16.83,-1.74
-0.97,-0.73,177.88,-15.13,-3.75
-0.12,0.47,177.72,-7.02,-4.78
0.18,0.00,178.04,-6.18,-5.25
0.17,0.45,179.10,-6.57,-5.46
-0.73,0.00,-179.73,-6.10,-5.83
0.00,0.38,-178.89,-3.58,-4.11
-0.23,-1.36,-178.59,-3.40,-3.89
0.21,0.00,-179.01,-2.11,-3.64
-0.26,1.00,-179.51,-2.75,-2.53
-0.24,0.00,179.83,-2.62,-2.74
-0.55,0.00,178.99,-0.85,-2.83
-0.16,0.00,178.15,-0.63,-3.14
0.24,-0.58,177.54,-0.20,-3.18
0.14,0.82,177.13,-1.60,-1.37
0.39,1.00,176.79,-2.35,-1.42
0.36,1.00,176.57,-1.92,-1.24
0.00,0.00,176.68,-2.64,-1.08
0.00,0.00,176.57,-2.32,2.31
0.00,-0.63,176.56,-2.35,1.09
-0.16,0.00,176.64,-2.21,0.08
0.00,0.00,176.81,-2.12,-1.56
-0.55,1.00,176.81,-1.74,-0.52
0.00,-0.72,177.02,-1.64,-0.53
0.53,-0.38,177.35,-1.70,-0.46
0.00,0.00,177.64,-4.25,0.65
0.28,0.72,178.42,-3.69,0.12
0.19,-0.46,179.55,-3.81,-0.00
-0.26,0.00,-178.94,-4.02,0.67
-0.23,0.00,-177.40,-3.87,1.19
-0.27,0.55,-175.98,-2.49,2.56
-0.66,0.00,-175.08,-2.41,3.12
